Ej_i - RotationalEnergy : 
Level 1 0
Level 2 -2,35664061653556E-49
Level 3 -2,04850380815019E-48
Level 4 -8,31782150933066E-48
Level 5 3,42145439900924E-55
Level 6 -5,08294236822989E-47
Level 7 -1,09735822676439E-46
Level 8 -1,18342999020806E-46
Level 9 -3,35056257925765E-46
Level 10 -1,92665671657672E-46
